movie_id,title,genres,director,cast,keywords,overview,vote_average,vote_count,popularity,release_year,runtime,language
1,Last Legend,Comedy Sport,Quentin Tarantino,Daniel Day-Lewis Jake Gyllenhaal Brad Pitt,redemption detective spy,a lone hero embarks on a action-packed journey through a distant galaxy to stop a shadowy organisation once and for all.,7.2,475,76.12,1980,164,es
2,Forgotten Eclipse 3,Animation,Alejandro Inarritu,Johnny Depp Charlize Theron Dustin Hoffman,survival chase prophecy heist forest,A action-packed a hardened detective must unite the factions before a catastrophic event destroys everything they hold dear.,7.6,19015,98.54,2024,104,hi
3,Last Covenant: Part 2,Documentary Romance War,David Fincher,Meryl Streep Robert De Niro Dustin Hoffman,prophecy superhero alien chase,"In a heart-breaking tale of justice and revenge, an exiled warrior confronts a catastrophic event that will test their very soul.",6.2,4387,21.89,2006,187,ko
4,Forgotten Wolf: Part 2,Crime Horror Family Fantasy,Guy Ritchie,Geoffrey Rush Russell Crowe Scarlett Johansson,snow gun city ocean spy magic conspiracy,"In a desperate tale of love and loss, a lone hero confronts a shadowy organisation that will test their very soul.",6.1,39102,99.62,2003,107,ja
5,The Hunter 4,Musical,Guillermo del Toro,Denzel Washington Samuel L. Jackson Leonardo DiCaprio,conspiracy zombie revenge clone corruption,two unlikely allies embarks on a action-packed journey through a war-torn land to stop a catastrophic event once and for all.,7.3,32071,2.93,1993,187,hi
6,Eternal Phantom: Part 1,Animation,Guy Ritchie,Sylvester Stallone Robert De Niro Russell Crowe,magic revolution mystery dragon,"When an exiled warrior discovers a shocking truth, they are drawn into a heart-breaking world of a war-torn land.",6.2,44069,65.34,1998,190,ja
7,Shadow of Hunter,Action War Sport,Peter Jackson,Daniel Day-Lewis Keanu Reeves Leonardo DiCaprio,clone friendship spy,A desperate a hardened detective must stop the villain before an unstoppable force destroys everything they hold dear.,7.0,47455,93.62,2006,148,es
8,Broken Odyssey,Thriller,Alfonso Cuaron,Jake Gyllenhaal Benedict Cumberbatch Samuel L. Jackson,election mutation revenge,A mysterious a hardened detective must stop the villain before a shadowy organisation destroys everything they hold dear.,4.8,12075,28.58,1985,186,en
9,Shadow of Warrior: Part 3,Animation,Tony Scott,Hugh Jackman Denzel Washington Benedict Cumberbatch,mystery detective city friendship alien forest,A mysterious a hardened detective must escape captivity before a catastrophic event destroys everything they hold dear.,5.0,14317,96.9,2007,169,ja
10,A Destiny: Part 1,History Family Documentary Adventure,Clint Eastwood,Al Pacino Will Smith Robert De Niro,betrayal superhero city heist sword revolution gun,an exiled warrior embarks on a desperate journey through a war-torn land to stop a deadly conspiracy once and for all.,9.1,13436,67.3,1990,105,de
11,Fall of Guardian 4,Action,Francis Ford Coppola,Jack Nicholson Anthony Hopkins Johnny Depp,prophecy detective conspiracy,"Set in a crime-ridden metropolis, the film follows a hardened detective as they navigate impossible odds and uncover an ancient prophecy.",8.6,46157,30.95,2021,158,ja
12,The Frontier 2,Comedy,Guy Ritchie,Geoffrey Rush Ryan Gosling Meryl Streep,hacker detective dystopia election clone,"Set in a distant galaxy, the film follows a young prodigy as they navigate a personal crisis and uncover a long-buried secret.",4.0,8623,64.07,1986,95,ko
13,Shadow of Judgment,Sport Adventure,Joel Coen,Angelina Jolie Daniel Day-Lewis Geoffrey Rush,snow magic survival corruption,"Set in a crime-ridden metropolis, the film follows a hardened detective as they navigate unexpected betrayals and uncover a long-buried secret.",9.4,49167,16.3,1985,185,fr
14,Final Redemption: Part 1,Thriller Fantasy Horror,Ridley Scott,Johnny Depp Joaquin Phoenix Brad Pitt,spy vampire chase space corruption election,"When two unlikely allies discovers an ancient prophecy, they are drawn into a desperate world of a post-apocalyptic city.",7.5,26243,68.27,2023,143,de
